No,Nama Tukang,Tempat kerja,Keahliah,Daerah,Jam kerja,Harga /jam,Rating
1,Budi Santoso,Santoso Tukang Kayu,"Pembuatan Kayu, Kerajinan",Jakarta Barat,"Sen-Jum, 8 Pagi - 5 Sore","Rp150,000 ",4.5
2,Citra Wijaya,Cat & Dekor,"Pengecatan, Desain Interior",Depok,"Sel-Sab, 9 Pagi - 6 Sore","Rp120,000 ",4.2
3,Agus Susanto,Susanto Tukang Pipa,"Perpipaan, HVAC ",Tangerang,"Sen-Ming, 24/7 Darurat","Rp180,000 ",4.8
4,Dewi Mulia,Mulia Taman,"Taman, Kebun",Bekasi,"Sen-Sab, 7 Pagi - 4 Sore","Rp130,000 ",4
5,Rudi Elektra,Elektra Listrik,"Listrik, Pemasangan Kabel",Jakarta Timur,"Sen-Jum, 9 Pagi - 6 Sore","Rp160,000 ",4.6
6,Rahmat Utomo,Utomo Tukang Aluminium,Pemasangan Aluminium,Jakarta Pusat,"Sen-Jum, 9 Pagi - 6 Sore","Rp160,000 ",4.2
7,Siska Handayani,Handayani Interior,"Desain Interior, Renovasi",Tangerang Selatan,"Sen-Sab, 10 Pagi - 7 Sore","Rp180,000 ",4.5
8,Andi Kusuma,Kusuma Plumbing,"Perpipaan, Penyumbatan",Bekasi Timur,"Sen-Ming, 8 Pagi - 5 Sore","Rp140,000 ",4
9,Dini Pratiwi,ratiwi Tukang Kaca,"Pemasangan Kaca, Kaca Film",Depok,"Sel-Jum, 9 Pagi - 6 Sore","Rp200,000 ",4.8
10,Hadi Santoso,Santoso Elektrik,"Listrik, Instalasi Kabel",Bogor,"Sen-Jum, 8 Pagi - 5 Sore","Rp170,000 ",4.3
11,Linda Permata,Permata Tukang Lukis,"Lukisan Dinding, Mural",Jakarta Selatan,"Sen-Sab, 10 Pagi - 7 Sore","Rp190,000 ",4.7
12,Joko Suryadi,Tukang Besi,"Pembuatan Pagar, Konstruksi",Tangerang,"Sen-Ming, 8 Pagi - 5 Sore","Rp180,000 ",4.6
13,Anita Wijaya,Wijaya Tukang Keramik,"Pemasangan Keramik, Renovasi",Jakarta Utara,"Sel-Jum, 9 Pagi - 6 Sore","Rp160,000 ",4.2
14,Hendra Mulyadi,Mulyadi Tukang AC,"Servis AC, Isi Freon",Bekasi Barat,"Sen-Sab, 10 Pagi - 7 Sore","Rp150,000 ",4.5
15,Dewi Cahyani,Cahyani Taman,"Perawatan Taman, Lanskap",Jakarta Timur,"Sen-Jum, 8 Pagi - 5 Sore","Rp170,000 ",4.4
16,Ari Wibowo,Wibowo Tukang Aluminium,Pemasangan Aluminium,Jakarta Pusat,"Sen-Jum, 9 Pagi - 6 Sore","Rp190,000 ",4.7
17,Lina Setyawati,Setyawati Tukang Cat,"Pengecatan, Mural",Tangerang Selatan,"Sen-Sab, 10 Pagi - 7 Sore","Rp160,000 ",4.5
18,Bambang Sudarmo,Sudarmo Tukang Pipa,"Perpipaan, Instalasi Pipa Gas",Jakarta Barat,"Sen-Ming, 8 Pagi - 5 Sore","Rp170,000 ",4.8
19,Ratna Kurniawan,Kurniawan Tukang Kaca,"Pemasangan Kaca, Kaca Film",Depok,"Sel-Jum, 9 Pagi - 6 Sore","Rp200,000 ",4.6
20,Dodi Prasetyo,Prasetyo Tukang Listrik,"Instalasi Listrik, Wiring",Bogor,"Sen-Jum, 8 Pagi - 5 Sore","Rp180,000 ",4.9
